"id","gameType","name","supertype","setName","setCode","cardNumber","rarity","imageUrl","pokemonTcgId","language","createdAt","setId"
"cmm8prqpj00gq12pmo71cltzn","POKEMON","Celebi",,"Wizards Black Star Promos","basep","50","Promo","https://images.pokemontcg.io/basep/50_hires.png","basep-50","EN","2026-03-02 05:03:55.639","cmm8prhcr000212pmi49iwdvr"
"cmm8prqqe00gs12pm6yg0mo3n","POKEMON","Rapidash",,"Wizards Black Star Promos","basep","51","Promo","https://images.pokemontcg.io/basep/51_hires.png","basep-51","EN","2026-03-02 05:03:55.671","cmm8prhcr000212pmi49iwdvr"
"cmm8prqra00gu12pmchcwhsma","POKEMON","Ho-oh",,"Wizards Black Star Promos","basep","52","Promo","https://images.pokemontcg.io/basep/52_hires.png","basep-52","EN","2026-03-02 05:03:55.702","cmm8prhcr000212pmi49iwdvr"
"cmm8prqs400gw12pmims63o0a","POKEMON","Suicune",,"Wizards Black Star Promos","basep","53","Promo","https://images.pokemontcg.io/basep/53_hires.png","basep-53","EN","2026-03-02 05:03:55.732","cmm8prhcr000212pmi49iwdvr"
"cmm8prqsz00gy12pmskk0izho","POKEMON","Aerodactyl",,"Fossil","base3","1","Rare Holo","https://images.pokemontcg.io/base3/1_hires.png","base3-1","EN","2026-03-02 05:03:55.763","cmm8prhdm000312pmp7qz269w"
"cmm8prqtu00h012pmu9wokgxx","POKEMON","Articuno",,"Fossil","base3","2","Rare Holo","https://images.pokemontcg.io/base3/2_hires.png","base3-2","EN","2026-03-02 05:03:55.794","cmm8prhdm000312pmp7qz269w"
"cmm8prquq00h212pmoq9l2jfr","POKEMON","Ditto",,"Fossil","base3","3","Rare Holo","https://images.pokemontcg.io/base3/3_hires.png","base3-3","EN","2026-03-02 05:03:55.826","cmm8prhdm000312pmp7qz269w"
"cmm8prqvl00h412pmfj7yun0o","POKEMON","Dragonite",,"Fossil","base3","4","Rare Holo","https://images.pokemontcg.io/base3/4_hires.png","base3-4","EN","2026-03-02 05:03:55.857","cmm8prhdm000312pmp7qz269w"
"cmm8prqwh00h612pm8g8hybvi","POKEMON","Gengar",,"Fossil","base3","5","Rare Holo","https://images.pokemontcg.io/base3/5_hires.png","base3-5","EN","2026-03-02 05:03:55.889","cmm8prhdm000312pmp7qz269w"
"cmm8prqxd00h812pmdj7l6ox9","POKEMON","Haunter",,"Fossil","base3","6","Rare Holo","https://images.pokemontcg.io/base3/6_hires.png","base3-6","EN","2026-03-02 05:03:55.921","cmm8prhdm000312pmp7qz269w"
